Brand,Phone Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Nokia,Nokia 2700/c Camera,"₦ 7,500","₦ 9,000",17%,Nokia 2700/c Camera Vedio Bluetooth GSM 2MP FM MP3 Mobile Phone,1,1
Apple,Apple IPhone 5C-8G,"₦ 55,530","₦ 99,920",44%,Apple IPhone 5C-8G ROM+1G RAM - 4.0 Inch Screen-8MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Blue,,
Apple,Apple IPhone 6sP,"₦ 149,000","₦ 293,000",49%,Apple IPhone 6sP - 5.5 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD- Gold,,
Apple,Apple IPhone 6,"₦ 81,160","₦ 108,600",25%,Apple IPhone 6 Mobile Phone 16GB 4.7 Inch IOS 8.0 Apple A8+M8 Dual Core Up To 1.4GHz Smartphone(Silver),,
Apple,Apple IPhone 6sP,"₦ 149,000","₦ 293,000",49%,Apple IPhone 6sP - 5.5 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD-Rose Gold,,
1Pc,1Pc Tablet Holder,"₦ 5,252","₦ 10,505",50%,1Pc Tablet Holder Portable Novel Desktop Stand,,
Apple,Apple IPhone 5SE-32G+1G,"₦ 199,000",,,Apple IPhone 5SE-32G+1G - 4.0 Inch Screen-12MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Grey,,
Apple,Apple IPhone 5,"₦ 31,450","₦ 157,752",80%,"Apple IPhone 5 - IOS 16GB 4.0"" Inch Screen 4G LTE Refurbished Smartphone",,
Apple,Apple IPhone 6,"₦ 137,437",,,"Apple IPhone 6 Plus 64GB - Black (Refurbished) 5.5""",1,4
Apple,Apple IPhone 5S-32G+1G,"₦ 48,690","₦ 78,990",38%,Apple IPhone 5S-32G+1G - 4.0 Inch Screen-8MP Pixel(Refurbished)4G LTE ( Gift ) Smart Phone-Pink,,
Nokia,Nokia 5800 XpressMusic,"₦ 16,000","₦ 22,000",27%,Nokia 5800 XpressMusic Mobile Cell Phone Unlovked 3G Wifi GPS Bluetooth & One Year Warranty,,
Apple,Apple IPhone 6S,"₦ 159,999",,,Apple IPhone 6S - 64GB ROM - 2GB RAM - 4.7' - Rfurb Smartphone IPhone - Rose Gold,,
Nokia,Nokia 2690 ,"₦ 8,700","₦ 19,000",54%,Nokia 2690  Bluetooth White Black Blue Grey Mobile Cell Phone,,
Apple,Apple IPhone 6S,"₦ 159,999",,,Apple IPhone 6S - 64GB ROM - 2GB RAM - 4.7' - Rfurb Smartphone IPhone - Gold,,
Apple,Apple IPhone 7-4.7,"₦ 152,900","₦ 400,000",62%,Apple IPhone 7-4.7 Inch Smartphone 2GB+128GB 12MP Finger Sensor 4G LTE (gift) HD-Silver,,
Apple,Apple IPhone 5,"₦ 31,450","₦ 157,752",80%,"Apple IPhone 5 Refurbished - IOS 16GB 4.0"" Inch Screen 4G LTE Smartphone",2,3.5
Apple,Apple IPhone 5C-16G,"₦ 55,920","₦ 99,920",44%,Apple IPhone 5C-16G ROM+1G RAM - 4.0 Inch Screen-8MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Blue,,
Nokia,Nokia 5800 Xpressmusic,"₦ 18,000","₦ 22,000",18%,Nokia 5800 Xpressmusic 3.2 MP Camera GPS WIFI FM Radio Bluetooth One Year Warranty Free Shipping,,
Apple,Apple Refurblished IPhone,"₦ 144,060",,,Apple Refurblished IPhone 7 A1660 / A1778 32GB ROM With Finger Sensor-GOLDEN,,
Apple,Apple Brand IPhone,"₦ 110,780","₦ 140,857",21%,Apple Brand IPhone 6S 64GB 4.7 Inch IOS 9.0 Apple A9+M9 Dual Core 64bit Up To 1.8GHz Smartphone(Gold),,
Apple,Apple IPhone SE,"₦ 55,000","₦ 270,000",80%,Apple IPhone SE 64GB Gold 4G - Fingerprint Unlock  4-inch Screen (Gift：accessories)(Refurbished),,
Apple,Apple IPhone 6S,"₦ 159,999",,,Apple IPhone 6S - 64GB ROM - 2GB RAM - 4.7' - Rfurb Smartphone IPhone - Space Grey,,
Apple,Apple IPhone 6sP,"₦ 169,000","₦ 293,000",42%,Apple IPhone 6sP - 5.5 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD- Gold,,
Apple,Apple IPhone 7-4.7,"₦ 152,900","₦ 400,000",62%,Apple IPhone 7-4.7 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Rose Gold,,
